Project ID,Project Start Date,Project Completion Date,Borough,Postcode,Census Tract,NTA - Neighborhood Tabulation Area,Building Completion Date,Reporting Construction Type,Extended Affordability Only,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,All Counted Units,Total Units,Project Start Year,Project End Year,Percent
73260,2022-12-30,2024-01-01,Brooklyn,11201,,,,Preservation,No,0,0,0,1,0,1,1,2022,2024,1.0
73326,2022-12-30,2024-01-01,Brooklyn,11226,790,BK95,,New Construction,No,0,0,0,0,5,5,15,2022,2024,0.333
73325,2022-12-29,2024-01-01,Brooklyn,11226,79601,BK60,,New Construction,No,0,0,0,0,4,4,11,2022,2024,0.364
66225,2022-12-28,2024-01-01,Manhattan,10026,20102,MN11,,Preservation,No,0,0,0,9,0,9,9,2022,2024,1.0
66225,2022-12-28,2024-01-01,Manhattan,10027,257,MN11,,Preservation,No,0,0,0,9,0,9,9,2022,2024,1.0
66225,2022-12-28,2024-01-01,Manhattan,10026,20102,MN11,,Preservation,No,0,0,0,18,0,18,18,2022,2024,1.0
73324,2022-12-28,2024-01-01,Bronx,10467,394,BX44,,New Construction,No,0,0,0,0,3,3,10,2022,2024,0.3
73337,2022-12-28,2024-01-01,Staten Island,10341,,,,Preservation,No,0,1,0,0,0,1,1,2022,2024,1.0
73323,2022-12-27,2024-01-01,Brooklyn,11211,513,BK73,,New Construction,No,0,0,0,0,43,43,143,2022,2024,0.301
73336,2022-12-27,2024-01-01,Staten Island,10341,,,,Preservation,No,2,0,0,0,0,2,2,2022,2024,1.0
71471,2022-12-23,2022-12-23,Queens,11435,22001,QN35,12/23/2022,Preservation,Yes,0,22,88,79,3,192,192,2022,2022,1.0
71471,2022-12-23,2022-12-23,Queens,11435,22001,QN35,12/23/2022,Preservation,Yes,1,18,89,78,4,190,190,2022,2022,1.0
71703,2022-12-23,2024-01-01,Bronx,10470,442,BX62,,New Construction,No,72,0,0,0,0,73,73,2022,2024,1.0
72746,2022-12-23,2022-12-23,Bronx,10454,39,BX39,12/23/2022,Preservation,No,139,5,0,0,0,145,145,2022,2022,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,6,2,0,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,8,0,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,5,3,0,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,4,4,0,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,3,5,0,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,6,2,0,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
64415,2022-12-22,2024-01-01,Brooklyn,11239,1070,BK82,,New Construction,No,0,0,8,0,0,8,8,2022,2024,1.0
